Lokaliz. funkc.;Oznaczenie;Zakład planow.
PLPA-PR-021-013000-003;B-ready Pakowanie;PLPA
PLPA-PR-021-013000-004;NU Bready packingT2;PLPA
PLPA-PR-021-013000-006;Preparacja B-ready;PLPA
PLPA-PR-021-014000;Tostino Rocherone;PLPA
PLPA-PR-021-014000-001;Palarnia orzechów 4 Brovind;PLPA
PLPA-PR-021-019329;Termoformatura;PLPA
PLPA-PR-021-019329-001;KJ (Formy);PLPA
PLPA-PR-021-019329-002;(nie używać);PLPA
PLPA-PR-021-019550;TT Produkcja plastiku;PLPA
PLPA-PR-021-019550-001;TT produkcja pudełek polipropylenowy;PLPA
PLPA-PR-021-019550-002;KJ Termoformatura;PLPA
PLPA-PR-021-019550-003;TT pudełka (Formy);PLPA
PLPA-PR-021-019550-004;TT kapsle (Formy);PLPA
PLPA-PR-021-090001;Obsługa wózków widłowych UGP3;PLPA
PLPA-PR-021-090001-001;Serwis wózków widłowych UGP3;PLPA
PLPA-PR-021-090001-002;Wynajem wózków widłowych UGP3;PLPA
PLPA-PR-021-090001-003;Części zamienne wózków widłowych UGP3;PLPA
PLPA-PR-031;(NIE UŻYWAĆ) UGP4 KB KBW;PLPA
PLPA-PR-031-011443;KBW 1;PLPA
PLPA-PR-031-011443-001;KBW Piece Nawilżacze Cięcie;PLPA
PLPA-PR-031-011443-002;KBW Modelowanie;PLPA
PLPA-PR-031-011443-003;KBW Pakowanie;PLPA
PLPA-PR-031-011443-004;KBW Pakowanie T6;PLPA
PLPA-PR-031-011443-005;KBW Nowy obszar paletyzujący;PLPA
PLPA-PR-031-011443-006;KBC. Modelowanie;PLPA
PLPA-PR-031-011443-007;KBC Pakowanie;PLPA
PLPA-PR-031-011443-008;KBW MASTELLO;PLPA
PLPA-PR-031-011444;KB / KBW Isola Multipack;PLPA
PLPA-PR-031-011444-001;KB / KBW Isola Multipack;PLPA
PLPA-PR-031-011444-002;KB Carton Case;PLPA
PLPA-PR-031-011444-003;KB MULTIPACK 2;PLPA
PLPA-PR-031-011445;KB 2 / KB MINI;PLPA
PLPA-PR-031-011445-001;KB2 Piece Nawilżacze Cięcie;PLPA
PLPA-PR-031-011445-002;KB2 Modelowanie;PLPA
